Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Methylophilaceae;,g__Methylotenera_A_557105;,MJ031-2-barcode67-umi5371bins-ubs-77
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Chitinophagales;,f__Chitinophagaceae_966727;,g__Unclassified;,MJ031-2-barcode67-umi3543bins-ubs-118
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__UBA4132;,MJ031-2-barcode67-umi3780bins-ubs-107
k__Bacteria;,p__Desulfobacterota_G_459544;,c__BSN033;,o__BSN033;,f__UBA1163;,g__DTGX01;,MJ031-2-barcode67-umi37161bins-ubs-7
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__VadinHA17_877549;,g__Unclassified;,MJ031-2-barcode67-umi37477bins-ubs-8
k__Bacteria;,p__Cyanobacteria;,c__Cyanobacteriia;,o__Cyanobacteriales;,f__Coleofasciculaceae_23353;,g__SIO2C1;,MJ031-2-barcode67-umi36782bins-ubs-8
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__Syntrophaceae;,g__Unclassified;,MJ031-2-barcode67-umi35381bins-ubs-8
k__Bacteria;,p__Desulfobacterota_G_459544;,c__SM23-61;,o__SM23-61;,f__SM23-61;,g__SM23-61;,MJ031-2-barcode67-umi36459bins-ubs-8
k__Bacteria;,p__Bdellovibrionota_E;,c__Oligoflexia;,o__Oligoflexales;,f__Bin106;,g__Bin106;,MJ031-2-barcode67-umi3696bins-ubs-116
k__Bacteria;,p__Bacteroidota;,c__UBA10030;,o__UBA10030;,f__UBA6906;,g__CAADGV01;,MJ031-2-barcode67-umi36422bins-ubs-8
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_592522;,f__Burkholderiaceae_A_592522;,g__Hylemonella_582308;,MJ031-2-barcode67-umi37127bins-ubs-7
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Clostridiales;,f__Clostridiaceae_222000;,g__Clostridium_AG;,MJ031-2-barcode67-umi35896bins-ubs-9
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Clostridiales;,f__Clostridiaceae_222000;,g__Clostridium_Z;,MJ031-2-barcode67-umi35753bins-ubs-10
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Pseudomonadales_650612;,f__Halieaceae;,g__Unclassified;,MJ031-2-barcode67-umi38181bins-ubs-7
