Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified,s__Oscillospiraceae_unclassified_SGB41087
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__Hymenobacter_properus
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Simplicispira,s__Simplicispira_hankyongi
k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobia_unclassified,o__Verrucomicrobia_unclassified,f__Verrucomicrobia_unclassified,g__Verrucomicrobia_unclassified,s__Verrucomicrobia_bacterium_Opi_OSU_00C
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__Synechococcus_sp_UW140
k__Bacteria,p__Bacteroidetes,c__CFGB1804,o__OFGB1804,f__FGB1804,g__GGB39811,s__GGB39811_SGB50152
k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_millerae
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Propionivibrio,s__Candidatus_Propionivibrio_aalborgensis
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_viscerum
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomonadales,f__Hyphomonadaceae,g__Hyphomonas,s__Hyphomonas_atlantica
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Thalassobius,s__Thalassobius_gelatinovorus
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Adhaeribacter,s__Adhaeribacter_rhizoryzae
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micromonosporales,f__Micromonosporaceae,g__Plantactinospora,s__Plantactinospora_mayteni
k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_antarcticus
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Christensenellaceae,g__Christensenella,s__Christensenella_intestinihominis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__Nesterenkonia,s__Nesterenkonia_jeotgali
k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiales_unclassified,g__Chlamydiales_unclassified,s__Chlamydiales_bacterium_STE3
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Gilliamella,s__Gilliamella_apicola
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9634,s__GGB9634_SGB15095
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Chroococcales,f__Geminocystaceae,g__Cyanobacterium,s__Cyanobacterium_aponinum
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_senegalensis
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9642,s__GGB9642_SGB15119
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinobacteraceae,g__Marinobacter,s__Marinobacter_profundi
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB24015,s__GGB24015_SGB35780
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Trinickia,s__Trinickia_dabaoshanensis
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified,s__Oscillospiraceae_unclassified_SGB41085
k__Archaea,p__Candidatus_Thermoplasmatota,c__CFGB9285,o__OFGB9285,f__FGB9285,g__GGB27326,s__GGB27326_SGB39573
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__GGB25618,s__GGB25618_SGB37588
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Buchnera,s__Buchnera_aphidicola
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_SGB40705
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB28494,s__GGB28494_SGB41084
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__Vibrio_renipiscarius
k__Bacteria,p__Bacteroidetes,c__CFGB7552,o__OFGB7552,f__FGB7552,g__GGB79612,s__GGB79612_SGB40123
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp_UFLA03_84
k__Bacteria,p__Bacteroidetes,c__CFGB38915,o__OFGB38915,f__FGB38915,g__GGB48762,s__GGB48762_SGB50203
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB28835,s__GGB28835_SGB41494
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Demequinaceae,g__Demequina,s__Demequina_aurantiaca
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Treponemataceae,g__Treponema,s__Treponema_sp_C6A8
k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus_salinus
k__Bacteria,p__Firmicutes,c__CFGB10253,o__OFGB10253,f__FGB10253,g__GGB75915,s__GGB75915_SGB102385
